City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
524,Salisbury,GB,62.44,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
525,Pachino,IT,72.43,36.7186,15.0907,Il Veliero
527,Korem,ET,56.7,12.5058,39.5228,Lakomeliza Hotel
528,Viedma,AR,68.47,-40.8135,-62.9967,Hotel Cristal
530,Morant Bay,JM,83.82,17.8815,-76.4093,Whispering Bamboo Cove Resort
531,Antofagasta,CL,61.88,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
533,Weligama,LK,76.06,5.9667,80.4167,Weligama Bay Resort
534,Gurupi,BR,77.63,-11.7292,-49.0686,Via Norte Hotel
537,Manono,CD,74.82,-7.3,27.4167,Hotel hewa bora
538,Owando,CG,70.23,-0.4819,15.8999,Exaunel Hotel Owando
539,Nosy Varika,MG,72.95,-20.5833,48.5333,Hotel Volazara
540,Cacu,BR,82.65,-18.5567,-51.1308,Império Hotel
542,Muros,ES,67.84,42.7762,-9.0603,Apartment Av. Castelao
543,Santa Isabel Do Rio Negro,BR,80.96,-0.4139,-65.0192,Hotel GSA
544,Mount Vernon,US,71.83,40.9126,-73.8371,Ramada by Wyndham Bronx
545,Sao Miguel Do Araguaia,BR,83.77,-13.275,-50.1628,Hotel Executivo Palace
546,Tamandare,BR,77.63,-8.7597,-35.1047,Pousada 100 Passos
547,La Palma,US,84.67,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
548,Camana,PE,64.62,-16.6228,-72.7111,Hostal Morales
551,Dahuk,IQ,62.91,36.8695,42.994,Parwar Hotel
552,Virginia Beach,US,63.01,36.8529,-75.978,Hilton Virginia Beach Oceanfront
553,Porto Torres,IT,59.18,40.835,8.3972,Hotel Elisa
557,San Antonio,US,82.06,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
559,Chimbote,PE,64.81,-9.0853,-78.5783,Hotel Briliá
561,Wilmington,US,70.9,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
563,Basoko,CD,71.76,1.2391,23.616,Jackyna Hotel
564,Kigorobya,UG,66.29,1.6162,31.3089,Docs sports lounge
566,Kollam,IN,76.33,8.8833,76.6,The Raviz Ashtamudi
567,Luangwa,ZM,81.75,-15.6167,30.4167,Gerasimos Safari Lodge
568,Sitio Novo Do Tocantins,BR,81.93,-5.5183,-47.4611,Imperial Hotel
569,Harindanga,IN,73.63,22.0383,88.3214,Hasanur Builders
571,Seaford,GB,63.37,50.7714,0.1027,Premier Inn Newhaven hotel
572,Satipo,PE,81.03,-11.2522,-74.6386,Bungalows El Palmiche
574,Buta,CD,68.67,2.7858,24.73,Hôtel BOPANDO
575,Tucurui,BR,83.73,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
576,Pokhara,NP,60.66,28.2333,83.9833,OYO 170 Hotel View Point
577,Porbandar,IN,77.77,21.6422,69.6093,Lords Inn Porbandar
579,Marawi,PH,68.63,7.9986,124.2928,Derogongan Residence
581,Meulaboh,ID,76.17,4.1363,96.1285,Kost Pria
582,Keti Bandar,PK,79.5,24.1447,67.4497,Haji laloo memon house
583,Tendukheda,IN,63.43,23.4,79.55,Aditya patel
584,Carbonia,IT,63.55,39.1672,8.5222,Lu 'Hotel
585,Boca Raton,US,84.0,26.3587,-80.0831,The Boca Raton Beach Club
588,Gairo,IT,61.81,39.8497,9.5047,La Nuova Luna
590,Morondava,MG,75.69,-20.2833,44.2833,La Case Bambou
591,Piacabucu,BR,77.74,-10.4056,-36.4344,Piaçabuçu News
592,Calama,CL,72.09,-22.4667,-68.9333,Park Hotel Calama
594,Miandrivazo,MG,78.87,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
595,Mattru,SL,75.09,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
596,Porto San Giorgio,IT,66.0,43.1827,13.7934,David Palace Hotel
597,Barra Dos Coqueiros,BR,80.62,-10.9089,-37.0386,Quality Hotel Aracaju
598,Codajas,BR,80.71,-3.8367,-62.0569,ATLÂNTIC HOTEL
601,Negombo,LK,78.85,7.2083,79.8358,Hotel Sunset Beach
602,Matai,TZ,67.37,-8.3,31.5167,Rashid agro vet
605,Uchiza,PE,80.35,-8.4592,-76.4633,Hotel San Pedro
606,Maralal,KE,63.39,1.0968,36.698,Ngari Hill Ecolodge
607,Talavera De La Reina,ES,61.81,39.9635,-4.8308,Be Live City Center Talavera
609,Saint-Pierre,RE,71.91,-21.3393,55.4781,Alize Plage
610,Lolodorf,CM,69.67,3.2333,10.7333,Auberge la cité
611,Assomada,CV,74.75,15.1,-23.6833,Residencial Cosmos
612,Masvingo,ZW,76.8,-20.0637,30.8277,River Side Lodge
613,Santa Isabel,BR,69.1,-23.3156,-46.2214,Chácara Sombra do Altíssimo
614,Ampanihy,MG,70.25,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
615,Englewood,US,62.82,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
616,Cabedelo,BR,79.47,-6.9811,-34.8339,Pousada Camboinha
617,Rayachoti,IN,68.32,14.05,78.75,Swetha lodge
618,Sao Felix Do Xingu,BR,73.69,-6.6447,-51.995,Rio Xingu Camping
619,Balod,IN,61.86,20.73,81.2047,CJM Bunglow
623,Awbari,LY,67.93,26.5921,12.7805,استراحة الشارب العائلي
624,Guaruja,BR,73.26,-23.9931,-46.2564,Charme Hotel Guarujá
625,Nouadhibou,MR,71.58,20.931,-17.0347,El Medina
626,Coihueco,CL,68.74,-36.6167,-71.8333,"Frutillares, Coihueco"
627,Tandil,AR,67.84,-37.3217,-59.1332,Hostal de la Sierra Tandil
629,Knysna,ZA,59.43,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
630,General Roca,AR,79.63,-39.0333,-67.5833,Hotel El Recreo
631,Oistins,BB,82.49,13.0667,-59.5333,Butterfly Beach Hotel
632,Borba,BR,77.2,-4.3878,-59.5939,Hotel da Amazônia
633,Diffa,NE,80.62,13.3154,12.6113,ProDAF/Diffa
634,Ponta Delgada,PT,65.12,37.7333,-25.6667,Vila Nova Hotel
637,Carauari,BR,79.68,-4.8828,-66.8958,Hotel Fellip
638,Koboko,UG,64.69,3.4136,30.9599,Hotel Diplomat
639,Amboasary,MG,73.81,-25.0333,46.3833,Le Bon Samaritain
641,Necochea,AR,60.84,-38.5473,-58.7368,dyd -mar Hotel
642,Bahir Dar,ET,59.95,11.5936,37.3908,"Delano Hotel, Bahir Dar"
643,Salima,MW,79.68,-13.7804,34.4587,YAMIKANI LODGE
646,Chitral,PK,57.09,35.8462,71.7858,PTDC Motel Chitral
648,Penzance,GB,59.68,50.1186,-5.5371,Artist Residence Penzance
649,Reggio Di Calabria,IT,72.32,38.1105,15.6613,Hotel Continental
651,Bodmin,GB,59.52,50.4715,-4.7243,Lanhydrock Hotel and Golf Club
652,Pedasi,PA,81.07,7.5333,-80.0333,Hotel Casa de Campo Pedasí
654,Opelika,US,77.25,32.6454,-85.3783,Fairfield Inn & Suites by Marriott Auburn Opelika
655,Paramonga,PE,64.36,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
657,Anzio,IT,68.31,41.4853,12.6179,Hotel Lido Garda
659,Iberia,US,73.47,29.9502,-91.7507,back to back rv park
660,Upington,ZA,77.38,-28.4478,21.2561,River Place Manor
662,Dwarka,IN,79.45,22.2394,68.9678,Hotel Narayan Avezika Comfort
665,Ilo,PE,62.62,-17.6394,-71.3375,Torreblanca Hotel
670,Correntina,BR,77.32,-13.3433,-44.6367,Hotel Pousada dos Sonhos
673,Tucupita,VE,77.72,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
674,Carutapera,BR,79.59,-1.195,-46.02,Lidera
675,Khandbari,NP,63.52,27.3747,87.2039,Sainik Hotel And Lodge
676,Constitucion,CL,56.86,-35.3333,-72.4167,Hotel Boutique Las Azucenas
678,Ibra,OM,71.55,22.6906,58.5334,مزرعة راحة النفوس المنزفة
679,Libreville,GA,77.36,0.3925,9.4537,Hotel Kreg Le Patio
681,Manaure,CO,79.7,11.7751,-72.4445,Hotel Palaaima
682,Hualmay,PE,64.81,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
683,Valls,ES,68.67,41.2861,1.2499,FELIX HOTEL
684,Colares,PT,67.33,38.7992,-9.4469,Arribas Sintra Hotel
688,Nuqui,CO,77.81,5.7125,-77.2708,Hotel Nuquimar
689,Mercedes,AR,80.04,-34.6515,-59.4307,Posada del Inti Centro
691,Paracuru,BR,80.11,-3.41,-39.0306,Hotel Vento Brasil
693,Porto Velho,BR,82.45,-8.7619,-63.9039,Ecos Hotel Conforto
698,Carahue,CL,60.46,-38.7,-73.1667,Hospedaje Familiar
700,Bubaque,GW,84.79,11.2833,-15.8333,"Casa Dora, Bubaque"
701,Kolondieba,ML,79.61,11.0882,-6.8926,Park
703,Bari,IT,68.27,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
707,Comodoro Rivadavia,AR,58.86,-45.8667,-67.5,Austral Hotel
711,Kibre Mengist,ET,56.32,5.8833,38.9833,kal beauty salone adola
713,Mayumba,GA,76.93,-3.432,10.6554,LIKWALE LODGE
714,Quatre Cocos,MU,73.09,-20.2078,57.7625,Sunrise Attitude Hotel
716,Itacurubi Del Rosario,PY,76.64,-24.5,-56.6833,Estancia Rodeo Tajy
717,Kourou,GF,82.45,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
