City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Hambantota,LK,6.1241,81.1185,77.34,100,100,2.3,overcast clouds
257,Ostrovnoy,RU,68.0531,39.5131,31.19,88,93,17.43,overcast clouds
258,Coari,BR,-4.085,-63.1414,79.99,82,98,3.0,overcast clouds
259,Pontivy,FR,48.0,-3.0,64.04,87,75,16.28,broken clouds
260,Narsaq,GL,60.9167,-46.05,26.82,73,1,6.8,clear sky
261,Kortkeros,RU,61.8106,51.5806,30.2,96,32,4.34,scattered clouds
262,Camacupa,AO,-12.0167,17.4833,65.71,77,82,5.14,broken clouds
263,Chynov,CZ,49.4068,14.8112,45.79,91,11,2.95,few clouds
264,Beira,MZ,-19.8436,34.8389,77.09,94,20,9.22,few clouds
265,Hobyo,SO,5.3505,48.5268,79.3,83,89,10.47,light rain
266,Kyshtovka,RU,56.555,76.6271,31.46,75,100,8.21,overcast clouds
267,San Cristobal,VE,7.7669,-72.225,77.18,75,100,1.45,overcast clouds
268,Svoge,BG,42.9667,23.35,61.5,68,79,2.33,broken clouds
269,Mizdah,LY,31.4451,12.9801,64.83,41,4,3.98,clear sky
270,Acarau,BR,-2.8856,-40.12,78.85,78,92,16.04,overcast clouds
271,Maniitsoq,GL,65.4167,-52.9,28.17,77,78,6.15,broken clouds
272,Tessalit,ML,20.1986,1.0114,79.29,18,86,11.34,overcast clouds
273,Marsh Harbour,BS,26.5412,-77.0636,78.93,69,7,9.75,clear sky
274,Turbat,PK,26.0023,63.044,78.96,53,0,2.13,clear sky
275,Thinadhoo,MV,0.5333,72.9333,82.72,74,83,13.42,broken clouds
276,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,87,32,11.01,scattered clouds
277,Walvis Bay,NA,-22.9575,14.5053,61.75,77,100,3.44,overcast clouds
278,Lerwick,GB,60.1545,-1.1494,51.8,88,100,10.8,overcast clouds
279,Ustyuzhna,RU,58.8394,36.4321,30.76,87,32,6.96,scattered clouds
